[2026-07-02 17:07:24] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-04 14:02:37] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-04 14:02:39] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-04 16:31:12] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=683&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:33
[2026-07-04 16:31:39] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=197&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:33
[2026-07-04 16:32:38] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=155&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:33
[2026-07-04 22:44:40] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-04 22:44:47] type=system_error | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/index.php | ip=::1 | message=mysqli_sql_exception: No connection could be made because the target machine actively refused it in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\db.php:10
[2026-07-04 22:44:47] type=system_error | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=system_error | ip=::1 | message=error_page_displayed
[2026-07-04 22:45:35] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=197&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:33
[2026-07-04 23:03:35] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=197&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
